趁火打劫,chèn huǒ dǎ jié,Loot when the victim's house caught fire. Take advantage of other's difficulty.
以逸待劳,yǐ yì dài láo,Well prepared and waiting for an enemy who is already exhausted
一蹴可及,yī cù kě jí,One strike could score. Within reach.
鞭长莫及,biān cháng mò jí,The whip is not long enough. Out of reach.
