笑里藏刀,xiào lǐ cáng dāo,Malicious intention hidden behind a smile
入木三分,rù mù sān fēn,Profound
以身作则,yǐ shēn zuò zé,Lead by example
不辞而别,bù cí ér bié,Leave with saying goodbye
