目不识丁,mù bù shí dīng,Cannot recognize alphabet. Completely illiterate.
一落千丈,yī luò qiān zhàng,Plummeted
七上八下,qī shàng bā xià,Too many things to worry about
流芳百世,liú fāng bǎi shì,leave a good name for posterity
