芭蕉蒲扇,bā jiāo pú shàn,banana leaf like a fan
斑竹篾筐,bān zhú miè kuāng,bamboo basket
槐椿榆桦,huái chūn yú huá,"four kinds of trees (locust, toon, elm, birch)"
杉桂榕樟,shān guì róng zhāng,"Another four kinds of big trees (Sequoria, cassia, banyan, camphor)"
