傲气面对,ào qì miàn duì,"Facing challenge with confidence and pride; ""Bring it on!"""
胆似铁打,dǎn sì tiě dǎ,Have guts to; dare to; bravery.
骨如精钢,gǔ rú jīng gāng,Bone is hard as steel. Being tough. Have backbone to do something.
胸襟百千,xiōng jīn bǎi qiān,Broad-minded. Tolerant to different views; not easily offended.
