碧波高壮,bì bō gāo zhuàng,Tall and strong blue waves
碧空广阔,bì kōng guǎng kuò,Vast blue sky
昂步挺胸,áng bù tǐng xiōng,Stand tall
栋梁好汉,dòng liáng hǎo hàn,Be a pillar of society; a hero.
